n, H[n]
1685, 705856000
1686, 706380800
1687, 706905600
1688, 707430400
1689, 707955200
1690, 708480000
1691, 709004800
1692, 709529600
1693, 710054400
1694, 710579200
1695, 711104000
1696, 711628800
1697, 712153600
1698, 712678400
1699, 713203200
1700, 713728000
1701, 714252800
1702, 714777600
1703, 715302400
1704, 715827200
1705, 716352000
1706, 716876800
1707, 717401600
1708, 717926400
1709, 718451200
1710, 718976000
1711, 719500800
1712, 720025600
1713, 720550400
1714, 721075200
1715, 721600000
1716, 722124800
1717, 722649600
1718, 723174400
1719, 723699200
1720, 724224000
1721, 724748800
1722, 725273600
1723, 725798400
1724, 726323200
1725, 726848000
1726, 727372800
1727, 727897600
1728, 728422400
1729, 728947200
1730, 729472000
1731, 729996800
1732, 730521600
1733, 731046400
1734, 731571200
1735, 732096000
1736, 732620800
1737, 733145600
1738, 733670400
1739, 734195200
1740, 734720000
1741, 735244800
1742, 735769600
1743, 736294400
1744, 736819200
1745, 737344000
1746, 737868800
1747, 738393600
1748, 738918400
1749, 739443200
1750, 739968000
1751, 740492800
1752, 741017600
1753, 741542400
1754, 742067200
1755, 742592000
1756, 743116800
1757, 743641600
1758, 744166400
1759, 744691200
1760, 745216000
1761, 745740800
1762, 746265600
1763, 746790400
1764, 747315200
1765, 747840000
1766, 748364800
1767, 748889600
1768, 749414400
1769, 749939200
1770, 750464000
1771, 750988800
1772, 751513600
1773, 752038400
1774, 752563200
1775, 753088000
1776, 753612800
1777, 754137600
1778, 754662400
1779, 755187200
1780, 755712000
1781, 756236800
1782, 756761600
1783, 757286400
1784, 757811200
1785, 758336000
1786, 758860800
1787, 759385600
1788, 759910400
1789, 760435200
1790, 760960000
1791, 761484800
1792, 762009600
1793, 762534400
1794, 763059200
1795, 763584000
1796, 764108800
1797, 764633600
1798, 765158400
1799, 765683200
1800, 766208000
1801, 766732800
1802, 767257600
1803, 767782400
1804, 768307200
1805, 768832000
1806, 769356800
1807, 769881600
1808, 770406400
1809, 770931200
1810, 771456000
1811, 771980800
1812, 772505600
1813, 773030400
1814, 773555200
1815, 774080000
1816, 774604800
1817, 775129600
1818, 775654400
1819, 776179200
1820, 776704000
1821, 777228800
1822, 777753600
1823, 778278400
1824, 778803200
1825, 779328000
1826, 779852800
1827, 780377600
1828, 780902400
1829, 781427200
1830, 781952000
1831, 782476800
1832, 783001600
1833, 783526400
1834, 784051200
1835, 784576000
1836, 785100800
1837, 785625600
1838, 786150400
1839, 786675200
1840, 787200000
1841, 787724800
1842, 788249600
1843, 788774400
1844, 789299200
1845, 789824000
1846, 790348800
1847, 790873600
1848, 791398400
1849, 791923200
1850, 792448000
1851, 792972800
1852, 793497600
1853, 794022400
1854, 794547200
1855, 795072000
1856, 795596800
1857, 796121600
1858, 796646400
1859, 797171200
1860, 797696000
1861, 798220800
1862, 798745600
1863, 799270400
1864, 799795200
1865, 800320000
1866, 800844800
1867, 801369600
1868, 801894400
1869, 802419200
1870, 802944000
1871, 803468800
1872, 803993600
1873, 804518400
1874, 805043200
